测试,#genre#
东方卫视,http://27.106.110.67:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
浙江卫视,http://27.106.110.67:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
江苏卫视,http://27.106.110.67:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
湖南卫视,http://27.106.110.67:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
广东卫视,http://27.106.110.67:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
深圳卫视,http://27.106.110.67:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视,http://27.106.110.67:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
安徽卫视,http://27.106.110.67:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
山东卫视,http://27.106.110.67:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
辽宁卫视,http://27.106.110.67:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
江西卫视,http://27.106.110.67:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
湖北卫视,http://27.106.110.67:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
重庆卫视,http://27.106.110.67:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
东南卫视,http://27.106.110.67:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
青海卫视,http://27.106.110.67:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
黑龙江卫视,http://27.106.110.67:35455/itv/1000000001000001925.m3u8?cdn=ystenlive

北京卫视,http://47.238.77.20:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
东方卫视,http://47.238.77.20:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
浙江卫视,http://47.238.77.20:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
江苏卫视,http://47.238.77.20:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
湖南卫视,http://47.238.77.20:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
广东卫视,http://47.238.77.20:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
深圳卫视,http://47.238.77.20:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视,http://47.238.77.20:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
安徽卫视,http://47.238.77.20:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
山东卫视,http://47.238.77.20:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
辽宁卫视,http://47.238.77.20:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
江西卫视,http://47.238.77.20:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
湖北卫视,http://47.238.77.20:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
重庆卫视,http://47.238.77.20:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
东南卫视,http://47.238.77.20:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
青海卫视,http://47.238.77.20:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
黑龙江卫视,http://47.238.77.20:35455/itv/1000000001000001925.m3u8?cdn=ystenlive

北京卫视,http://szdjd.us.kg:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
东方卫视,http://szdjd.us.kg:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
浙江卫视,http://szdjd.us.kg:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
江苏卫视,http://szdjd.us.kg:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
湖南卫视,http://szdjd.us.kg:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
广东卫视,http://szdjd.us.kg:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
深圳卫视,http://szdjd.us.kg:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视,http://szdjd.us.kg:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
安徽卫视,http://szdjd.us.kg:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
山东卫视,http://szdjd.us.kg:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
辽宁卫视,http://szdjd.us.kg:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
江西卫视,http://szdjd.us.kg:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
湖北卫视,http://szdjd.us.kg:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
重庆卫视,http://szdjd.us.kg:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
东南卫视,http://szdjd.us.kg:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
青海卫视,http://szdjd.us.kg:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
黑龙江卫视,http://szdjd.us.kg:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
安徽,#genre#
安徽经济生活,http://112.30.194.221:20080/live/eac499adad7b49ff9cfa79ba84693959/hls.m3u8
安徽综艺体育,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be.flv
安徽影视,http://mmitv.top/test/ahtv.php?id=13
安徽经济生活,http://112.30.194.221:20080/live/eac499adad7b49ff9cfa79ba84693959.flv
安徽综艺体育,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3.flv
newtv,#genre#
